2116.b1;[0, 0, 0, -23, 46];[[16,1,303,19],[901,20,900,21],[461,5,475,76],[576,5,245,76],[1,14,6,85],[281,5,535,76],[1,0,20,1],[737,20,644,1],[1,20,0,1]];920
2116.c1;[0, 0, 0, -12167, -559682];[[16,5,5,36],[1,14,6,5],[21,5,35,36],[16,1,23,19],[21,20,20,21],[17,20,4,1],[1,20,0,1],[39,35,25,4],[1,0,20,1]];40
8464.h1;[0, 0, 0, -23, -46];[[16,1,303,19],[901,20,900,21],[461,5,475,76],[344,915,675,844],[1,14,6,85],[281,5,535,76],[1,0,20,1],[737,20,644,1],[1,20,0,1]];920
8464.j1;[0, 0, 0, -12167, 559682];[[1,14,6,5],[21,5,35,36],[24,35,35,4],[16,1,23,19],[21,20,20,21],[17,20,4,1],[1,20,0,1],[39,35,25,4],[1,0,20,1]];40
10368.k1;[0, 0, 0, -39528, -3024864];[[16,1,3,19],[17,0,4,1],[16,5,5,16],[19,15,5,4],[1,14,6,5]];20
10368.l1;[0, 0, 0, -1098, 14004];[[16,1,63,19],[16,5,45,76],[61,5,75,76],[101,20,100,21],[41,5,15,76],[1,20,0,1],[1,0,20,1],[1,14,6,85],[97,20,84,1]];120
10368.m1;[0, 0, 0, -39528, 3024864];[[4,15,15,4],[16,1,3,19],[17,0,4,1],[19,15,5,4],[1,14,6,5]];20
10368.n1;[0, 0, 0, -1098, -14004];[[16,1,63,19],[61,5,75,76],[101,20,100,21],[41,5,15,76],[1,20,0,1],[104,115,75,44],[1,0,20,1],[1,14,6,85],[97,20,84,1]];120
10368.s1;[0, 0, 0, -4392, 112032];[[16,5,45,16],[16,1,3,19],[37,20,24,1],[59,55,45,44],[41,5,15,16],[41,20,40,21],[1,20,0,1],[1,0,20,1],[1,14,6,25]];60
10368.t1;[0, 0, 0, -9882, -378108];[[16,5,5,36],[1,14,6,5],[21,5,35,36],[16,1,23,19],[21,20,20,21],[17,20,4,1],[1,20,0,1],[39,35,25,4],[1,0,20,1]];40
10368.u1;[0, 0, 0, -4392, -112032];[[16,1,3,19],[37,20,24,1],[59,55,45,44],[41,5,15,16],[41,20,40,21],[1,20,0,1],[44,55,15,44],[1,0,20,1],[1,14,6,25]];60
10368.v1;[0, 0, 0, -9882, 378108];[[1,14,6,5],[21,5,35,36],[24,35,35,4],[16,1,23,19],[21,20,20,21],[17,20,4,1],[1,20,0,1],[39,35,25,4],[1,0,20,1]];40
19044.e1;[0, 0, 0, -109503, 15111414];[[16,45,45,76],[1,20,0,1],[16,1,63,19],[1,14,6,85],[101,20,100,21],[1,0,20,1],[61,45,75,76],[79,0,0,119],[97,60,84,1],[119,75,105,44]];120
19044.j1;[0, 0, 0, -207, -1242];[[16,1,303,19],[2741,20,2740,21],[1,20,0,1],[1381,1845,1395,76],[1657,1860,2484,1],[919,0,0,2759],[1201,1845,1455,76],[2416,1845,2085,76],[1,0,20,1],[1,14,6,85]];2760
33856.t1;[0, 0, 0, -48668, 4477456];[[4,15,15,4],[16,1,3,19],[17,0,4,1],[19,15,5,4],[1,14,6,5]];20
33856.u1;[0, 0, 0, -48668, -4477456];[[16,1,3,19],[17,0,4,1],[16,5,5,16],[19,15,5,4],[1,14,6,5]];20
33856.x1;[0, 0, 0, -92, 368];[[116,5,245,76],[16,1,303,19],[459,455,445,384],[441,20,440,21],[1,14,6,85],[281,5,75,76],[1,0,20,1],[277,20,184,1],[1,20,0,1]];460
33856.y1;[0, 0, 0, -92, -368];[[16,1,303,19],[459,455,445,384],[441,20,440,21],[1,14,6,85],[281,5,75,76],[1,0,20,1],[344,455,215,384],[277,20,184,1],[1,20,0,1]];460
52900.i1;[0, 0, 0, -304175, -69960250];[[16,5,5,36],[1,14,6,5],[21,5,35,36],[16,1,23,19],[21,20,20,21],[1,20,0,1],[23,20,36,39],[39,35,25,4],[1,0,20,1]];40
52900.q1;[0, 0, 0, -575, 5750];[[16,1,303,19],[901,20,900,21],[461,5,475,76],[576,5,245,76],[1,14,6,85],[183,900,276,919],[281,5,535,76],[1,0,20,1],[1,20,0,1]];920
55112.c1;[0, 0, 0, -8051, -278050];[[16,1,303,19],[1081,5,1275,76],[1,20,0,1],[997,20,664,1],[1641,20,1640,21],[416,5,845,76],[1,0,20,1],[1,14,6,85]];1660
55112.d1;[0, 0, 0, -55463339, 158985375350];[[16,1,3,19],[17,0,4,1],[16,5,5,16],[19,15,5,4],[1,14,6,5]];20
76176.y1;[0, 0, 0, -109503, -15111414];[[104,75,75,44],[1,20,0,1],[16,1,63,19],[1,14,6,85],[101,20,100,21],[1,0,20,1],[61,45,75,76],[79,0,0,119],[97,60,84,1],[119,75,105,44]];120
76176.bs1;[0, 0, 0, -207, 1242];[[16,1,303,19],[2741,20,2740,21],[1,20,0,1],[1381,1845,1395,76],[1657,1860,2484,1],[919,0,0,2759],[344,915,675,2684],[1201,1845,1455,76],[1,0,20,1],[1,14,6,85]];2760
103684.f1;[0, 0, 0, -596183, 191970926];[[279,35,105,244],[176,245,245,36],[1,20,0,1],[16,1,23,19],[141,245,35,36],[57,140,84,1],[39,0,0,279],[1,0,20,1],[1,14,6,85],[261,20,260,21]];280
