864.a1;[0, 0, 0, -216, -1296];[[11,4,5,11],[7,0,6,7],[10,9,9,1],[5,0,0,5],[1,6,6,1],[9,4,2,9],[1,4,4,11]];12
864.d1;[0, 0, 0, -216, 1296];[[7,0,6,7],[3,4,8,3],[2,7,5,2],[5,5,11,10],[4,9,3,7],[5,0,0,5],[1,6,6,1]];12
864.i1;[0, 0, 0, -24, 48];[[7,0,6,7],[3,4,8,3],[7,7,1,2],[10,5,7,10],[4,9,3,7],[5,0,0,5],[1,6,6,1]];12
864.l1;[0, 0, 0, -24, -48];[[7,0,6,7],[3,4,8,3],[10,5,7,10],[5,5,11,10],[4,9,3,7],[5,0,0,5],[1,6,6,1]];12
1210.d1;[1, 1, 0, -23597, -1525091];[[1057,6,531,19],[991,6,0,1],[1315,6,1314,7],[663,442,4,663],[963,2,595,1317],[2,3,3,5],[661,6,663,19],[1,6,0,1],[1,0,6,1]];1320
1210.i1;[1, 1, 1, -195, 1057];[[991,6,0,1],[1315,6,1314,7],[663,442,4,663],[2,3,3,5],[1,6,0,1],[268,3,789,1318],[4,3,657,1318],[606,5,487,6],[1,0,6,1]];1320
1728.e1;[0, 0, 0, -6, 6];[[5,5,11,10],[7,0,6,7],[13,12,12,13],[10,5,7,10],[3,4,8,3],[4,9,3,7],[11,0,0,23],[1,0,12,1],[5,0,0,5],[1,12,0,1],[23,18,18,23]];24
1728.h1;[0, 0, 0, -6, -6];[[7,0,6,7],[13,12,12,13],[10,5,7,10],[3,4,8,3],[4,9,3,7],[11,0,0,23],[1,0,12,1],[5,0,0,5],[1,12,0,1],[23,18,18,23],[19,19,13,14]];24
1728.u1;[0, 0, 0, -54, -162];[[9,4,2,9],[11,8,8,1],[7,0,6,7],[13,12,12,13],[11,0,0,23],[1,0,12,1],[5,0,0,5],[1,12,0,1],[23,16,17,23],[23,18,18,23],[10,9,9,1]];24
1728.x1;[0, 0, 0, -54, 162];[[14,19,17,14],[13,12,12,13],[7,0,6,7],[3,4,8,3],[4,9,3,7],[11,0,0,23],[1,0,12,1],[5,0,0,5],[23,18,18,23],[1,12,0,1],[19,19,13,14]];24
1800.k1;[0, 0, 0, -1500, 22500];[[10,3,11,1],[4,9,5,1],[7,0,0,7],[5,0,0,5],[8,7,1,0],[11,0,0,11],[1,4,4,5]];12
1800.l1;[0, 0, 0, -13500, -607500];[[10,3,11,1],[4,9,5,1],[7,0,0,7],[5,0,0,5],[4,5,11,0],[11,0,0,11],[1,4,4,5]];12
1800.o1;[0, 0, 0, -60, 180];[[10,3,11,1],[4,9,5,1],[7,0,0,7],[5,0,0,5],[8,7,1,0],[1,4,4,5]];12
1800.p1;[0, 0, 0, -540, -4860];[[10,3,11,1],[4,9,5,1],[7,0,0,7],[5,0,0,5],[4,5,11,0],[1,4,4,5]];12
1944.c1;[0, 0, 0, -36, 84];[[1,8,2,11],[2,7,5,8],[6,5,1,11],[7,2,8,11]];12
1944.h1;[0, 0, 0, -324, -2268];[[1,8,2,11],[10,5,7,4],[6,5,1,11],[7,2,8,11]];12
2535.f1;[0, -1, 1, 5859, 228386];[[385,6,384,7],[246,5,157,6],[1,0,6,1],[238,3,309,388],[4,3,387,128],[1,6,0,1],[2,3,3,5]];390
2535.g1;[0, -1, 1, 35, 93];[[385,6,384,7],[246,5,157,6],[1,0,6,1],[238,3,309,388],[4,3,387,128],[1,6,0,1],[2,3,3,5]];390
2645.a1;[0, 1, 1, -8111, 772041];[[277,6,141,19],[1,6,0,461],[1,0,6,1],[153,2,205,687],[685,6,684,7],[1,6,0,1],[2,3,3,5]];690
2645.b1;[0, 1, 1, -15, -69];[[277,6,141,19],[1,6,0,461],[1,0,6,1],[153,2,205,687],[685,6,684,7],[1,6,0,1],[2,3,3,5]];690
3600.p1;[0, 0, 0, -540, 4860];[[10,3,11,1],[7,0,0,7],[8,3,7,11],[5,0,0,5],[4,5,11,0],[1,4,4,5]];12
3600.r1;[0, 0, 0, -60, -180];[[10,3,11,1],[7,0,0,7],[8,3,7,11],[5,0,0,5],[8,7,1,0],[1,4,4,5]];12
3600.w1;[0, 0, 0, -13500, 607500];[[10,3,11,1],[7,0,0,7],[5,0,0,5],[4,5,11,0],[8,3,7,11],[11,0,0,11],[1,4,4,5]];12
3600.y1;[0, 0, 0, -1500, -22500];[[10,3,11,1],[7,0,0,7],[5,0,0,5],[8,3,7,11],[8,7,1,0],[11,0,0,11],[1,4,4,5]];12
3888.e1;[0, 0, 0, -36, -84];[[11,4,10,1],[2,7,5,8],[6,5,1,11],[7,2,8,11]];12
3888.r1;[0, 0, 0, -324, 2268];[[11,4,10,1],[10,5,7,4],[6,5,1,11],[7,2,8,11]];12
5566.c1;[1, 1, 0, -2026, -2988];[[3700,3,261,6070],[1662,5,4975,6],[2,3,3,5],[4,3,3033,6070],[1519,6,0,1],[3037,6,0,1013],[1,6,0,1],[6067,6,6066,7],[1,0,6,1]];6072
5566.i1;[1, 1, 1, -245209, 2751079];[[3037,6,3039,19],[3867,2,1651,6069],[1519,6,0,1],[1,0,6,1],[3037,6,0,1013],[6067,6,6066,7],[3961,6,5811,19],[1,6,0,1],[2,3,3,5]];6072
6050.m1;[1, 0, 1, -4876, 141898];[[1057,6,531,19],[991,6,0,1],[1315,6,1314,7],[663,442,4,663],[963,2,595,1317],[2,3,3,5],[661,6,663,19],[1,6,0,1],[1,0,6,1]];1320
6050.bg1;[1, 0, 0, -589938, -189456508];[[1057,6,531,19],[991,6,0,1],[1315,6,1314,7],[663,442,4,663],[963,2,595,1317],[2,3,3,5],[661,6,663,19],[1,6,0,1],[1,0,6,1]];1320
6534.a1;[1, -1, 0, -6, 28];[[133,6,135,239],[1,0,6,1],[199,6,69,19],[171,2,67,261],[133,6,135,19],[259,6,258,7],[2,3,3,5],[1,6,0,1]];264
6534.n1;[1, -1, 0, -6738, 952892];[[259,6,258,7],[4,3,129,262],[2,3,3,5],[4,3,195,262],[4,135,129,86],[78,5,223,6],[1,6,0,1],[1,0,6,1]];264
6534.q1;[1, -1, 1, -749, -35043];[[133,6,135,239],[1,0,6,1],[199,6,69,19],[171,2,67,261],[133,6,135,19],[259,6,258,7],[2,3,3,5],[1,6,0,1]];264
6534.bb1;[1, -1, 1, -56, -701];[[133,6,135,239],[1,0,6,1],[199,6,69,19],[171,2,67,261],[133,6,135,19],[259,6,258,7],[2,3,3,5],[1,6,0,1]];264
6627.g1;[0, 1, 1, -484507, 129375955];[[15,2,163,279],[1,6,3,113],[1,0,6,1],[277,6,276,7],[1,6,0,1],[2,3,3,5]];282
6627.h1;[0, 1, 1, -219, -1321];[[15,2,163,279],[1,6,3,113],[1,0,6,1],[277,6,276,7],[1,6,0,1],[2,3,3,5]];282
6845.c1;[0, -1, 1, -472761, 104815596];[[1,6,0,149],[1,0,6,1],[2,3,3,5],[1,6,0,1],[217,6,216,7],[117,2,175,219]];222
6845.d1;[0, -1, 1, -345, 2181];[[1,6,0,149],[1,0,6,1],[12,5,199,6],[2,3,3,5],[1,6,0,1],[217,6,216,7]];222
6877.a1;[0, 1, 1, 16223, 2925600];[[3,1198,4,3],[1,0,6,1],[1789,6,1788,7],[705,2,619,1791],[691,6,279,19],[1,6,0,1],[2,3,3,5]];1794
6877.b1;[0, 1, 1, 31, -230];[[3,1198,4,3],[1,0,6,1],[1789,6,1788,7],[705,2,619,1791],[691,6,279,19],[1,6,0,1],[2,3,3,5]];1794
6912.a1;[0, 0, 0, -54, 216];[[19,6,18,7],[1,0,6,1],[4,15,9,14],[2,3,3,5],[21,2,4,3],[1,6,0,1],[6,5,19,6]];24
6912.b1;[0, 0, 0, -24, -64];[[19,6,18,7],[1,0,6,1],[4,15,9,14],[2,3,3,5],[21,2,4,3],[1,6,0,1],[6,5,19,6]];24
