608.d1;[0, 0, 0, -56, -4848];[[197,10,86,123],[1,0,10,1],[21,10,105,51],[1,10,0,1],[2,7,355,293],[191,352,0,267],[371,10,370,11]];380
608.e1;[0, 0, 0, -56, 4848];[[197,10,86,123],[1,0,10,1],[21,10,105,51],[1,10,0,1],[2,7,355,293],[191,352,0,267],[371,10,370,11]];380
800.b1;[0, -1, 0, -208, 1412];[[21,0,0,21],[31,32,8,39],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[9,8,15,23],[33,0,0,33],[31,22,3,9]];40
800.c1;[0, -1, 0, -8, -8];[[21,0,0,21],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[9,18,37,31],[9,8,15,23],[33,0,0,33],[9,8,32,1]];40
800.g1;[0, 1, 0, -8, 8];[[21,0,0,21],[31,32,25,17],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[9,18,37,31],[33,0,0,33],[9,8,32,1]];40
800.h1;[0, 1, 0, -208, -1412];[[21,0,0,21],[31,32,8,39],[31,32,25,17],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[33,0,0,33],[31,22,3,9]];40
1216.h1;[0, 0, 0, -14, -606];[[197,10,86,123],[1,0,10,1],[21,10,105,51],[1,10,0,1],[2,7,355,293],[191,352,0,267],[371,10,370,11]];380
1216.i1;[0, 0, 0, -14, 606];[[197,10,86,123],[1,0,10,1],[21,10,105,51],[1,10,0,1],[2,7,355,293],[191,352,0,267],[371,10,370,11]];380
1444.b1;[0, -1, 0, -2286, 34549];[[149,375,55,34],[361,20,360,21],[77,20,304,1],[3,46,28,303],[1,10,10,101],[191,20,10,201],[17,8,144,269],[1,0,20,1],[1,20,0,1]];380
1444.c1;[0, 1, 0, -6, -7];[[231,5,325,346],[361,20,360,21],[77,20,304,1],[3,46,28,303],[1,10,10,101],[191,20,10,201],[17,8,144,269],[1,0,20,1],[1,20,0,1]];380
1600.g1;[0, -1, 0, -833, -10463];[[21,0,0,21],[31,32,8,39],[31,32,25,17],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[9,18,37,31],[33,0,0,33]];40
1600.h1;[0, -1, 0, -33, 97];[[21,0,0,21],[31,32,25,17],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[33,0,0,33],[31,22,3,9],[9,8,32,1]];40
1600.r1;[0, 1, 0, -33, -97];[[21,0,0,21],[33,32,24,17],[1,16,0,9],[31,10,20,31],[31,30,30,11],[7,3,6,33],[29,0,0,29],[21,20,20,21],[31,0,0,31],[1,20,0,1],[31,25,25,6],[9,8,15,23],[33,0,0,33]];40
1600.s1;[0, 1, 0, -833, 10463];[[21,0,0,21],[31,32,8,39],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[9,18,37,31],[9,8,15,23],[33,0,0,33]];40
2400.l1;[0, -1, 0, -733, -7403];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[6,5,35,56],[2,7,35,33],[37,10,26,3]];60
2400.m1;[0, -1, 0, -18333, 962037];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[41,10,25,51],[2,7,35,33],[37,10,26,3]];60
2400.v1;[0, 1, 0, -733, 7403];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[6,5,35,56],[2,7,35,33],[37,10,26,3]];60
2400.w1;[0, 1, 0, -18333, -962037];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[41,10,25,51],[2,7,35,33],[37,10,26,3]];60
2888.c1;[0, -1, 0, -424, -3223];[[17,8,144,269],[191,20,0,1],[3,46,28,303],[1,20,0,1],[77,20,304,1],[1,10,10,101],[231,5,325,346],[361,20,360,21],[1,0,20,1]];380
2888.e1;[0, 1, 0, -153184, 23025409];[[17,8,144,269],[191,20,0,1],[3,46,28,303],[1,20,0,1],[77,20,304,1],[1,10,10,101],[149,375,55,34],[361,20,360,21],[1,0,20,1]];380
4800.h1;[0, -1, 0, -4583, -117963];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[6,5,35,56],[2,7,35,33],[37,10,26,3]];60
4800.i1;[0, -1, 0, -183, 1017];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[41,10,25,51],[2,7,35,33],[37,10,26,3]];60
4800.cl1;[0, 1, 0, -4583, 117963];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[41,10,25,51],[2,7,35,33],[37,10,26,3]];60
4800.cm1;[0, 1, 0, -183, -1017];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[41,10,25,51],[2,7,35,33],[37,10,26,3]];60
5472.a1;[0, 0, 0, -504, 130896];[[197,10,86,123],[1,0,10,1],[1,10,0,1],[2,7,355,293],[191,352,0,267],[126,5,275,376],[371,10,370,11]];380
5472.d1;[0, 0, 0, -504, -130896];[[197,10,86,123],[1,0,10,1],[21,10,105,51],[1,10,0,1],[2,7,355,293],[191,352,0,267],[371,10,370,11]];380
5776.f1;[0, -1, 0, -6, 7];[[189,360,370,179],[231,5,325,346],[361,20,360,21],[77,20,304,1],[3,46,28,303],[1,10,10,101],[17,8,144,269],[1,0,20,1],[1,20,0,1]];380
5776.h1;[0, -1, 0, -153184, -23025409];[[189,360,0,379],[149,375,55,34],[361,20,360,21],[77,20,304,1],[3,46,28,303],[1,10,10,101],[17,8,144,269],[1,0,20,1],[1,20,0,1]];380
5776.k1;[0, 1, 0, -2286, -34549];[[189,360,370,179],[149,375,55,34],[361,20,360,21],[77,20,304,1],[3,46,28,303],[1,10,10,101],[17,8,144,269],[1,0,20,1],[1,20,0,1]];380
5776.o1;[0, 1, 0, -424, 3223];[[231,5,325,346],[189,360,0,379],[361,20,360,21],[77,20,304,1],[3,46,28,303],[1,10,10,101],[17,8,144,269],[1,0,20,1],[1,20,0,1]];380
6050.j1;[1, -1, 0, -17, 61];[[47,10,61,413],[1,0,10,1],[221,10,225,51],[2,7,415,353],[431,10,430,11],[337,384,306,233],[1,10,0,1],[111,10,0,1]];440
6050.k1;[1, -1, 0, -51992, -9423584];[[1,0,10,1],[202,5,11,28],[6,5,215,436],[2,7,415,353],[431,10,430,11],[337,384,306,233],[1,10,0,1],[111,10,0,1]];440
6050.be1;[1, -1, 1, -430, 7197];[[1,0,10,1],[202,5,11,28],[6,5,215,436],[2,7,415,353],[431,10,430,11],[337,384,306,233],[1,10,0,1],[111,10,0,1]];440
6050.bf1;[1, -1, 1, -2080, -74973];[[47,10,61,413],[1,0,10,1],[221,10,225,51],[2,7,415,353],[431,10,430,11],[337,384,306,233],[1,10,0,1],[111,10,0,1]];440
6897.c1;[0, 1, 1, -7817, -272101];[[3631,10,5615,51],[2,7,6245,6183],[4181,10,2095,51],[6261,10,6260,11],[1,0,10,1],[1,3772,0,5017],[1,10,0,1],[1147,10,2261,6243]];6270
6897.d1;[0, 1, 1, -945897, 358382558];[[1,3772,0,5017],[1,0,10,1],[2,7,6245,6183],[2976,5,655,6266],[5702,5,11,28],[6,5,4175,6266],[6261,10,6260,11],[1,10,0,1]];6270
7200.g1;[0, 0, 0, -6600, -206480];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[41,10,25,51],[2,7,35,33],[37,10,26,3]];60
7200.h1;[0, 0, 0, -165000, 25810000];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[6,5,35,56],[2,7,35,33],[37,10,26,3]];60
7200.k1;[0, 0, 0, -1875, 36250];[[21,0,0,21],[31,32,8,39],[31,32,25,17],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[39,0,0,39],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[33,0,0,33],[31,22,3,9]];40
7200.o1;[0, 0, 0, -75, -290];[[21,0,0,21],[31,32,25,17],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[39,0,0,39],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[9,18,37,31],[33,0,0,33],[9,8,32,1]];40
7200.bm1;[0, 0, 0, -75, 290];[[21,0,0,21],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[39,0,0,39],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[9,18,37,31],[9,8,15,23],[33,0,0,33],[9,8,32,1]];40
7200.bq1;[0, 0, 0, -1875, -36250];[[21,0,0,21],[31,32,8,39],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[39,0,0,39],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[9,8,15,23],[33,0,0,33],[31,22,3,9]];40
7200.bt1;[0, 0, 0, -6600, 206480];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[41,10,25,51],[2,7,35,33],[37,10,26,3]];60
7200.bu1;[0, 0, 0, -165000, -25810000];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[41,10,25,51],[2,7,35,33],[37,10,26,3]];60
7688.d1;[0, -1, 0, -69512, 6932476];[[311,20,0,1],[1221,20,1220,21],[621,20,10,201],[29,1235,1155,34],[497,20,124,1],[1,10,10,101],[17,8,1004,1129],[3,46,888,803],[1,0,20,1],[1,20,0,1]];1240
7688.e1;[0, -1, 0, -196, 1124];[[3,46,268,183],[601,20,600,21],[17,8,384,509],[497,20,124,1],[296,15,505,61],[1,10,10,101],[1,0,20,1],[311,20,10,201],[1,20,0,1]];620
7688.i1;[0, 1, 0, -72, -256];[[311,20,0,1],[1221,20,1220,21],[1211,5,85,1206],[621,20,10,201],[497,20,124,1],[1,10,10,101],[17,8,1004,1129],[3,46,888,803],[1,0,20,1],[1,20,0,1]];1240
7688.j1;[0, 1, 0, -188676, -31599424];[[3,46,268,183],[601,20,600,21],[17,8,384,509],[497,20,124,1],[324,605,115,559],[1,10,10,101],[1,0,20,1],[311,20,10,201],[1,20,0,1]];620
10082.i1;[1, 1, 1, -10908829, -13872470253];[[2,7,2815,2753],[1327,10,861,2813],[1421,10,1425,51],[711,1572,0,1847],[1,0,10,1],[1,10,0,1],[2831,10,2830,11],[711,10,715,51]];2840
10082.j1;[1, 1, 1, -2164, 37845];[[2,7,2815,2753],[6,5,1415,2836],[711,1572,0,1847],[1,0,10,1],[1,10,0,1],[1426,5,2125,2836],[2002,5,2491,28],[2831,10,2830,11]];2840
10944.ci1;[0, 0, 0, -126, 16362];[[197,10,86,123],[1,0,10,1],[21,10,105,51],[1,10,0,1],[2,7,355,293],[191,352,0,267],[371,10,370,11]];380
10944.cn1;[0, 0, 0, -126, -16362];[[197,10,86,123],[1,0,10,1],[21,10,105,51],[1,10,0,1],[2,7,355,293],[191,352,0,267],[371,10,370,11]];380
11552.m1;[0, 0, 0, -20216, 33252432];[[197,10,86,123],[1,0,10,1],[21,10,105,51],[1,10,0,1],[2,7,355,293],[191,352,0,267],[371,10,370,11]];380
11552.n1;[0, 0, 0, -20216, -33252432];[[197,10,86,123],[1,0,10,1],[1,10,0,1],[2,7,355,293],[191,352,0,267],[126,5,275,376],[371,10,370,11]];380
11808.f1;[0, 0, 0, 2277, 44254];[[2,7,4895,4833],[6,5,2455,4916],[6,5,3275,4916],[1,0,10,1],[3726,5,2635,4916],[1,10,0,1],[4911,10,4910,11],[1231,1732,0,247],[3697,10,2546,123]];4920
11808.g1;[0, 0, 0, 2277, -44254];[[2,7,4895,4833],[3281,10,1645,51],[1,0,10,1],[1,10,0,1],[2461,10,2465,51],[4911,10,4910,11],[1231,1732,0,247],[3697,10,2546,123],[1441,10,2285,51]];4920
11808.i1;[0, 0, 0, 20493, -1194858];[[2,7,4895,4833],[3281,10,1645,51],[1,0,10,1],[1,10,0,1],[2461,10,2465,51],[4911,10,4910,11],[1231,1732,0,247],[3697,10,2546,123],[1441,10,2285,51]];4920
11808.j1;[0, 0, 0, 20493, 1194858];[[2,7,4895,4833],[3281,10,1645,51],[1,0,10,1],[1,10,0,1],[2461,10,2465,51],[4911,10,4910,11],[1231,1732,0,247],[3697,10,2546,123],[1441,10,2285,51]];4920
12996.j1;[0, 0, 0, -20577, -912247];[[1121,20,1120,21],[379,0,0,1139],[149,375,435,794],[571,780,390,961],[3,46,788,303],[1,10,10,101],[17,8,904,1029],[457,780,684,1],[1,0,20,1],[1,20,0,1]];1140
12996.k1;[0, 0, 0, -57, 133];[[1121,20,1120,21],[379,0,0,1139],[3,46,788,303],[571,780,390,961],[1,10,10,101],[17,8,904,1029],[991,765,705,346],[457,780,684,1],[1,0,20,1],[1,20,0,1]];1140
14400.w1;[0, 0, 0, -41250, 3226250];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[41,10,25,51],[2,7,35,33],[37,10,26,3]];60
14400.x1;[0, 0, 0, -1650, -25810];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[6,5,35,56],[2,7,35,33],[37,10,26,3]];60
14400.bd1;[0, 0, 0, -300, -2320];[[21,0,0,21],[31,32,25,17],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[39,0,0,39],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[33,0,0,33],[31,22,3,9],[9,8,32,1]];40
14400.bu1;[0, 0, 0, -7500, 290000];[[21,0,0,21],[31,32,8,39],[31,32,25,17],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[39,0,0,39],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[9,18,37,31],[33,0,0,33]];40
14400.dq1;[0, 0, 0, -7500, -290000];[[21,0,0,21],[31,32,8,39],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[39,0,0,39],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[9,18,37,31],[9,8,15,23],[33,0,0,33]];40
14400.eh1;[0, 0, 0, -300, 2320];[[21,0,0,21],[1,16,0,9],[31,10,20,31],[31,30,30,11],[21,20,20,21],[39,0,0,39],[31,0,0,31],[9,0,0,9],[1,20,0,1],[31,25,25,6],[9,8,15,23],[33,0,0,33],[31,22,3,9],[9,8,32,1]];40
14400.en1;[0, 0, 0, -41250, -3226250];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[6,5,35,56],[2,7,35,33],[37,10,26,3]];60
14400.eo1;[0, 0, 0, -1650, 25810];[[1,0,10,1],[37,4,26,33],[1,10,0,1],[51,10,50,11],[6,5,35,56],[2,7,35,33],[37,10,26,3]];60
14884.d1;[0, 0, 0, -61, -183];[[3,46,868,703],[571,5,765,1186],[611,20,10,201],[1,20,0,1],[17,8,984,1109],[1201,20,1200,21],[1,10,10,101],[977,20,244,1],[1,0,20,1]];1220
