675.b1;[1, -1, 1, -5, 2];[[1,0,10,1],[5,8,8,1],[6,5,25,21],[1,10,0,1],[51,10,50,11],[3,13,53,22],[6,5,25,56],[28,5,11,42]];60
675.c1;[1, -1, 1, -1055, -3428];[[1,0,10,1],[5,8,8,1],[6,5,25,21],[1,10,0,1],[51,10,50,11],[3,13,53,22],[6,5,25,56],[28,5,11,42]];60
675.g1;[1, -1, 0, -117, 166];[[3,10,31,37],[5,8,8,1],[31,10,35,51],[51,10,50,11],[3,13,53,22],[1,0,10,1],[6,5,25,21],[1,10,0,1]];60
675.h1;[1, -1, 0, -42, -19];[[1,0,10,1],[5,8,8,1],[6,5,25,21],[1,10,0,1],[51,10,50,11],[3,13,53,22],[6,5,25,56],[28,5,11,42]];60
1044.f1;[0, 0, 0, -345, 5157];[[3,10,301,37],[1,271,261,88],[5,8,758,691],[6,5,25,21],[1,0,10,1],[1,10,0,1],[31,10,155,51],[861,10,860,11]];870
1044.g1;[0, 0, 0, -3105, -139239];[[186,5,715,866],[1,271,261,88],[5,8,758,691],[298,5,551,852],[6,5,25,21],[1,0,10,1],[1,10,0,1],[861,10,860,11]];870
3132.b1;[0, 0, 0, -28215, 1083726];[[1731,10,1730,11],[1,271,261,88],[1168,5,551,1722],[6,5,865,1736],[6,5,25,21],[186,5,715,1736],[1,0,10,1],[1,10,0,1],[5,8,1628,1561]];1740
3132.c1;[0, 0, 0, -3135, -40138];[[1731,10,1730,11],[1,271,261,88],[6,5,25,21],[1,0,10,1],[3,10,1171,37],[1,10,0,1],[5,8,1628,1561],[871,10,875,51],[901,10,1025,51]];1740
4176.p1;[0, 0, 0, -3105, 139239];[[3,10,301,37],[1,271,261,88],[5,8,758,691],[6,5,25,21],[1,0,10,1],[1,10,0,1],[31,10,155,51],[861,10,860,11]];870
4176.q1;[0, 0, 0, -345, -5157];[[3,10,301,37],[1,271,261,88],[5,8,758,691],[6,5,25,21],[1,0,10,1],[1,10,0,1],[31,10,155,51],[861,10,860,11]];870
4900.c1;[0, 1, 0, -58, 153];[[61,10,60,11],[1,0,10,1],[6,5,25,21],[1,10,0,1],[5,8,28,31],[3,3,43,62],[23,10,61,37]];70
4900.d1;[0, 1, 0, -71458, -7415787];[[61,10,60,11],[1,0,10,1],[6,5,25,21],[1,10,0,1],[5,8,28,31],[3,3,43,62],[23,10,61,37]];70
4900.r1;[0, -1, 0, -2858, -58183];[[61,10,60,11],[1,0,10,1],[6,5,25,21],[1,10,0,1],[38,5,11,52],[5,8,28,31],[3,3,43,62]];70
4900.s1;[0, -1, 0, -1458, 22037];[[61,10,60,11],[1,0,10,1],[6,5,25,21],[1,10,0,1],[5,8,28,31],[3,3,43,62],[23,10,61,37]];70
6372.e1;[0, 0, 0, -43605, -2755431];[[6,5,25,21],[1761,10,1760,11],[1,541,531,178],[1,0,10,1],[3,10,601,37],[5,8,1658,1591],[61,10,305,51],[1,10,0,1]];1770
6372.f1;[0, 0, 0, -4845, 102053];[[6,5,25,21],[1761,10,1760,11],[1,541,531,178],[1,0,10,1],[3,10,601,37],[5,8,1658,1591],[61,10,305,51],[1,10,0,1]];1770
6507.a1;[0, 0, 1, -46110, 3870549];[[4828,5,2381,7212],[7221,10,7220,11],[5826,5,7195,7226],[6,5,25,21],[5,8,7118,7051],[1,0,10,1],[1,10,0,1],[1,5071,5061,6508]];7230
6507.b1;[0, 0, 1, -414990, -104504830];[[5,8,7118,7051],[6,5,25,21],[1,5071,5061,6508],[1,0,10,1],[5791,10,35,51],[7221,10,7220,11],[3,10,4831,37],[1,10,0,1]];7230
6588.c1;[0, 0, 0, -4798545, -4045875099];[[6,5,25,21],[1771,10,1535,51],[3,10,1231,37],[1821,10,1820,11],[1,0,10,1],[1,1291,1281,1648],[5,8,1718,1651],[1,10,0,1]];1830
6588.f1;[0, 0, 0, -43186905, 109238627673];[[6,5,25,21],[1771,10,1535,51],[3,10,1231,37],[1821,10,1820,11],[1,0,10,1],[1,1291,1281,1648],[5,8,1718,1651],[1,10,0,1]];1830
9693.f1;[0, 0, 1, -15180, -381475];[[10761,10,10760,11],[1,3241,3231,1078],[6,5,25,21],[1,0,10,1],[1,10,0,1],[3,10,3601,37],[2161,10,35,51],[5,8,10658,10591]];10770
